                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                  2.357,                 1.0447,                 2.7687,                0.81734,                0.73427,                0.77185,                 0.4014,                 3.1757,                  1.647,                 2.6072,               0.004951,               0.004951,               0.004951
                     53,                 2.3485,                  1.036,                 2.7569,                0.81803,                0.73744,                0.77583,                0.40379,                 3.1778,                  1.634,                 2.6076,               0.004852,               0.004852,               0.004852
                     54,                 2.3493,                 1.0282,                 2.7579,                0.81612,                0.73935,                0.77541,                0.40392,                 3.1742,                 1.6355,                 2.6061,               0.004753,               0.004753,               0.004753
                     55,                  2.337,                 1.0296,                 2.7508,                0.81638,                0.74055,                0.77654,                0.40407,                 3.1733,                 1.6335,                  2.607,               0.004654,               0.004654,               0.004654
                     56,                 2.3335,                 1.0113,                 2.7492,                0.81635,                0.74126,                0.77719,                0.40499,                  3.171,                  1.631,                 2.6064,               0.004555,               0.004555,               0.004555
                     57,                 2.3336,                  1.015,                 2.7529,                0.82037,                0.74126,                0.77971,                0.40838,                  3.169,                  1.626,                 2.6043,               0.004456,               0.004456,               0.004456
                     58,                 2.3226,                 1.0164,                 2.7491,                0.82208,                0.73999,                0.78063,                0.40905,                 3.1698,                 1.6202,                 2.6041,               0.004357,               0.004357,               0.004357
                     59,                 2.3182,                 1.0125,                 2.7361,                 0.8206,                0.73999,                0.77825,                0.40774,                 3.1676,                 1.6219,                 2.6022,               0.004258,               0.004258,               0.004258
                     60,                 2.3203,                 1.0065,                 2.7454,                0.84052,                0.73044,                0.78009,                0.40812,                 3.1649,                 1.6167,                  2.602,               0.004159,               0.004159,               0.004159
                     61,                 2.3107,                 1.0042,                 2.7319,                0.82904,                0.73554,                0.78102,                0.41023,                 3.1652,                 1.6122,                 2.6018,                0.00406,                0.00406,                0.00406
                     62,                 2.3093,                 1.0018,                 2.7366,                 0.8329,                0.73427,                 0.7804,                0.40905,                 3.1622,                 1.6099,                 2.5996,               0.003961,               0.003961,               0.003961
                     63,                 2.3098,                      1,                 2.7357,                0.83753,                0.73617,                0.77719,                0.40751,                 3.1597,                 1.6037,                 2.5978,               0.003862,               0.003862,               0.003862
                     64,                    2.3,                0.98739,                 2.7285,                0.83909,                0.73427,                0.77971,                0.40923,                 3.1581,                 1.5978,                 2.5948,               0.003763,               0.003763,               0.003763
